"","Group","LevelB","LevelC","Module","Module_group","Module_desc","Module_desc_numbers","Presence","Total","Percent"
"1","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00001","M00001_Gbar","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (22)  ",9,9,100
"2","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00001","M00001_Gpac","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (22)  ",9,9,100
"3","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00001","M00001_Povi","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (22)  ",9,9,100
"4","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00002","M00002_Gbar","M00002_Glycolysis, core module involving three-carbon compounds","M00002 Glycolysis, core module involving three-carbon compounds (10)  ",5,5,100
"5","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00002","M00002_Gpac","M00002_Glycolysis, core module involving three-carbon compounds","M00002 Glycolysis, core module involving three-carbon compounds (10)  ",5,5,100
"6","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00002","M00002_Povi","M00002_Glycolysis, core module involving three-carbon compounds","M00002 Glycolysis, core module involving three-carbon compounds (10)  ",5,5,100
"7","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00003","M00003_Gbar","M00003_Gluconeogenesis, oxaloacetate => fructose-6P","M00003 Gluconeogenesis, oxaloacetate => fructose-6P (18)  ",7,7,100
"8","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00003","M00003_Gpac","M00003_Gluconeogenesis, oxaloacetate => fructose-6P","M00003 Gluconeogenesis, oxaloacetate => fructose-6P (18)  ",7,7,100
"9","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00003","M00003_Povi","M00003_Gluconeogenesis, oxaloacetate => fructose-6P","M00003 Gluconeogenesis, oxaloacetate => fructose-6P (18)  ",7,7,100
"10","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00004","M00004_Gbar","M00004_Pentose phosphate pathway (Pentose phosphate cycle)","M00004 Pentose phosphate pathway (Pentose phosphate cycle) (13)  ",6,6,100
