KO,module,LevelA,LevelB,LevelC,Module_name,Module_desc,Associated_pathway
K03520,M0000a,A_Pathway modules,B_Energy metabolism,C_CO oxidation,CO Oxidation,M0000a_CO Oxidation,[empty]
K03519,M0000a,A_Pathway modules,B_Energy metabolism,C_CO oxidation,CO Oxidation,M0000a_CO Oxidation,[empty]
K03518,M0000a,A_Pathway modules,B_Energy metabolism,C_CO oxidation,CO Oxidation,M0000a_CO Oxidation,[empty]
K10713,M00000,A_Pathway modules,B_Energy metabolism,C_Methane metabolism,"Methane oxidation, methanotroph, methane => formaldehyde [PATH:map00680 map01200 map01220 map01100 map01120]","M00000_Methane oxidation, methanotroph, formaldehyde => CO2",[empty]
K00122,M00000,A_Pathway modules,B_Energy metabolism,C_Methane metabolism,"Methane oxidation, methanotroph, methane => formaldehyde [PATH:map00680 map01200 map01220 map01100 map01120]","M00000_Methane oxidation, methanotroph, formaldehyde => CO2",[empty]
K22516,M00000,A_Pathway modules,B_Energy metabolism,C_Methane metabolism,"Methane oxidation, methanotroph, methane => formaldehyde [PATH:map00680 map01200 map01220 map01100 map01120]","M00000_Methane oxidation, methanotroph, formaldehyde => CO2",[empty]
K00125,M00000,A_Pathway modules,B_Energy metabolism,C_Methane metabolism,"Methane oxidation, methanotroph, methane => formaldehyde [PATH:map00680 map01200 map01220 map01100 map01120]","M00000_Methane oxidation, methanotroph, formaldehyde => CO2",[empty]
K00844,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K12407,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00845,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K25026,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
